yearSeason,slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Driving Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,6,1,11,Restricted Area,Center,C,Less Than 8 ft.,-11,0,20,1,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,8,1,10,Left Corner 3,Left Side,L,24+ ft.,-241,28,45,24,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,12,1,10,Mid-Range,Center,C,16-24 ft.,40,175,24,17,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,15,1,9,Restricted Area,Center,C,Less Than 8 ft.,-14,8,56,1,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Step Back Jump shot,3PT Field Goal,20151225,LAL,LAC,21500440,17,1,9,Above the Break 3,Center,C,24+ ft.,-71,247,35,25,TRUE,FALSE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,18,1,9,In The Paint (Non-RA),Center,C,8-16 ft.,5,116,31,11,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,21,1,8,Mid-Range,Right Side,R,8-16 ft.,151,26,48,15,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,23,1,8,Mid-Range,Right Side,R,16-24 ft.,168,120,21,20,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Floating Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,25,1,7,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-16,46,48,4,TRUE,TRUE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,32,1,7,Above the Break 3,Left Side Center,LC,24+ ft.,-232,105,24,25,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,35,1,6,Above the Break 3,Left Side Center,LC,24+ ft.,-86,237,51,25,TRUE,FALSE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,47,1,5,Above the Break 3,Left Side Center,LC,24+ ft.,-183,170,40,24,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,63,1,4,Mid-Range,Left Side,L,16-24 ft.,-145,95,44,17,TRUE,TRUE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,20151225,LAL,LAC,21500440,73,1,3,Restricted Area,Center,C,Less Than 8 ft.,0,1,32,0,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,75,1,2,Mid-Range,Right Side,R,8-16 ft.,91,100,58,13,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Driving Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,77,1,2,Restricted Area,Center,C,Less Than 8 ft.,0,-5,37,0,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Hook Shot,2PT Field Goal,20151225,LAL,LAC,21500440,86,1,2,Restricted Area,Center,C,Less Than 8 ft.,-20,31,4,3,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,89,1,1,Mid-Range,Left Side Center,LC,16-24 ft.,-86,159,56,18,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,100,1,1,In The Paint (Non-RA),Center,C,8-16 ft.,-53,100,27,11,TRUE,TRUE
2016,2015-16,1610612746,203143,Shot Chart Detail,Pablo Prigioni,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,104,1,0,Above the Break 3,Center,C,24+ ft.,17,257,50,25,TRUE,TRUE
2016,2015-16,1610612746,202332,Shot Chart Detail,Cole Aldrich,LA Clippers,Missed Shot,Hook Shot,2PT Field Goal,20151225,LAL,LAC,21500440,106,1,0,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2,46,32,4,TRUE,FALSE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,115,1,0,Above the Break 3,Left Side Center,LC,24+ ft.,-124,213,2,24,TRUE,FALSE
2016,2015-16,1610612746,202362,Shot Chart Detail,Lance Stephenson,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,120,2,11,Mid-Range,Right Side Center,RC,16-24 ft.,101,144,49,17,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Made Shot,Step Back Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,124,2,11,Mid-Range,Right Side,R,8-16 ft.,151,31,19,15,TRUE,TRUE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,126,2,10,Mid-Range,Left Side,L,8-16 ft.,-135,-5,42,13,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,135,2,10,Mid-Range,Center,C,16-24 ft.,-35,183,7,18,TRUE,FALSE
2016,2015-16,1610612746,1718,Shot Chart Detail,Paul Pierce,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,137,2,10,Above the Break 3,Right Side Center,RC,24+ ft.,153,190,0,24,TRUE,FALSE
2016,2015-16,1610612746,202362,Shot Chart Detail,Lance Stephenson,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,140,2,9,Above the Break 3,Center,C,24+ ft.,76,237,36,24,TRUE,FALSE
2016,2015-16,1610612746,202332,Shot Chart Detail,Cole Aldrich,LA Clippers,Missed Shot,Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,151,2,8,Restricted Area,Center,C,Less Than 8 ft.,-27,2,43,2,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Made Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,160,2,7,In The Paint (Non-RA),Left Side,L,8-16 ft.,-70,116,55,13,TRUE,TRUE
2016,2015-16,1610612746,202325,Shot Chart Detail,Wesley Johnson,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,169,2,7,Right Corner 3,Right Side,R,24+ ft.,228,-10,26,22,TRUE,FALSE
2016,2015-16,1610612746,2037,Shot Chart Detail,Jamal Crawford,LA Clippers,Missed Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,173,2,7,Mid-Range,Center,C,8-16 ft.,20,154,20,15,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,184,2,6,Mid-Range,Left Side,L,16-24 ft.,-163,100,22,19,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,187,2,5,In The Paint (Non-RA),Center,C,8-16 ft.,-48,110,58,12,TRUE,TRUE
2016,2015-16,1610612746,202325,Shot Chart Detail,Wesley Johnson,LA Clippers,Made Shot,Pullup Jump shot,3PT Field Goal,20151225,LAL,LAC,21500440,195,2,5,Above the Break 3,Right Side Center,RC,24+ ft.,145,198,26,24,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Turnaround Bank shot,2PT Field Goal,20151225,LAL,LAC,21500440,204,2,4,Mid-Range,Left Side,L,8-16 ft.,-83,57,51,10,TRUE,FALSE
2016,2015-16,1610612746,200755,Shot Chart Detail,JJ Redick,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,207,2,4,Mid-Range,Left Side Center,LC,16-24 ft.,-151,141,29,20,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Hook Shot,2PT Field Goal,20151225,LAL,LAC,21500440,216,2,4,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-60,18,3,6,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,218,2,4,Restricted Area,Center,C,Less Than 8 ft.,14,2,1,1,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Missed Shot,Pullup Jump shot,2PT Field Goal,20151225,LAL,LAC,21500440,222,2,3,Mid-Range,Right Side,R,8-16 ft.,89,124,37,15,TRUE,FALSE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,225,2,3,In The Paint (Non-RA),Center,C,Less Than 8 ft.,42,18,9,4,TRUE,FALSE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,20151225,LAL,LAC,21500440,229,2,2,Restricted Area,Center,C,Less Than 8 ft.,0,1,41,0,TRUE,FALSE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Running Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,231,2,2,Mid-Range,Right Side,R,8-16 ft.,119,11,38,11,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Missed Shot,Turnaround Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,238,2,2,In The Paint (Non-RA),Left Side,L,8-16 ft.,-65,85,10,10,TRUE,FALSE
2016,2015-16,1610612746,201599,Shot Chart Detail,DeAndre Jordan,LA Clippers,Made Shot,Putback Dunk Shot,2PT Field Goal,20151225,LAL,LAC,21500440,240,2,2,Restricted Area,Center,C,Less Than 8 ft.,0,1,8,0,TRUE,TRUE
2016,2015-16,1610612746,101108,Shot Chart Detail,Chris Paul,LA Clippers,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20151225,LAL,LAC,21500440,263,2,0,In The Paint (Non-RA),Center,C,Less Than 8 ft.,55,18,50,5,TRUE,TRUE
2016,2015-16,1610612746,201601,Shot Chart Detail,Luc Mbah a Moute,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,270,2,0,Right Corner 3,Right Side,R,24+ ft.,222,11,3,22,TRUE,TRUE
2016,2015-16,1610612746,201933,Shot Chart Detail,Blake Griffin,LA Clippers,Made Shot,Reverse Layup Shot,2PT Field Goal,20151225,LAL,LAC,21500440,276,3,11,Restricted Area,Center,C,Less Than 8 ft.,10,-6,48,1,TRUE,TRUE
2016,2015-16,1610612746,201601,Shot Chart Detail,Luc Mbah a Moute,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20151225,LAL,LAC,21500440,282,3,10,Right Corner 3,Right Side,R,24+ ft.,223,-15,40,22,TRUE,FALSE
